0,18497496,2971037,21765537
1,3456252,1405595,5295353
2,4215664,2285319,6044602
3,4611599,2699374,6171651
4,4755572,2888220,6431138
5,5725120,4496980,9715672
6,6638156,4295447,9952418
7,6873363,4777307,10479627
8,6888675,4361251,10883568
9,6673265,4237880,10451562
10,6679860,4191800,10150883
11,5796385,2435495,8918974
12,5471692,2729965,8621079
13,5733254,2372464,8797308
14,5273473,2431803,8202280
15,5106327,2297291,7530559
16,5366971,2399136,7720914
17,5312348,2353532,7887260
18,5433384,2496017,7939169
19,4997972,2391208,9068801
20,5701234,4370064,9370749
21,5856479,4400214,9352547
22,5612499,3835267,9089585
23,6097577,4552473,9010670
24,5574133,3599035,8472003
25,5964055,3788472,8609788
26,6088573,3915220,8930756
27,6073542,3836293,8755533
28,5750358,3847920,8441251
29,5778076,4201365,9139273
30,6301885,4224796,8861654
31,5619152,4307078,8593701
32,5972157,3805426,8224523
33,5586437,3822785,8552555
34,6318476,3786868,11220266
35,6279036,3648889,8712464
36,5499853,3809358,8530124
37,5993188,3718337,8507552
38,5949911,3614836,8903843
39,6052572,3719861,8841526
40,5943461,3622746,8765860
41,5790977,4010483,8919804
42,6261803,3897075,9033133
43,5914725,3884460,8886869
44,5799625,3432479,8557660
45,5958030,3567208,8583307
46,5851147,3456833,8759980
47,5761203,3615042,8856522
48,5751409,3627639,8770581
49,5995166,3694006,8675356
50,8189804,3862823,8804482
51,5797488,3713552,8621280
52,5616043,3645077,8450307
53,5485355,3723708,8681466
54,5403944,3679135,8676117
55,5313558,3560208,8007092
56,5479293,3674504,8771702
57,5914702,3557958,8237710
58,5501015,3581371,8702764
59,10620634,1990056,7080908
60,4559679,1720668,7142270
61,4660381,1814920,7257798
62,5256868,4165215,8553465
63,5939832,10523611,8897064
64,5207693,2491464,7614489
65,4840801,1961166,7393089
66,5535698,3403503,8496753
67,5994034,4749819,8774962
68,7323463,3798241,8860429
69,6024083,3873481,8439616
70,5681124,3917455,8788744
71,5744149,3776851,8528969
72,5636636,4099239,8440564
73,5601364,3799464,8486729
74,5689860,3660262,8548912
75,5822675,3602889,8588924
76,5911009,3685469,8462805
77,7016127,4123809,8397040
78,5394003,3645330,8485299
79,6040707,3873529,8478201
80,5342095,3645423,8217212
81,5981029,3731753,8540860
82,5073575,3496928,8005702
83,5575009,3249446,8330393
84,9953514,7690974,9808347
85,5206625,2674168,8122484
86,5219552,2706040,7644820
87,4978153,2783946,7144109
88,4323521,1616623,6743806
89,4011986,1753705,7365683
90,4570757,1780635,7187592
91,5264162,3130324,8367287
92,5576473,3569289,8515567
93,5386925,3542221,8433930
94,5910870,3875103,8615183
95,5917397,3823542,8680722
96,5696832,4076883,8578691
97,5380748,3958530,8255718
98,6896500,4069710,8734943
99,5322288,3860901,7966951
100,5554596,3929329,8506969
101,5965536,3971090,8612063
102,5721212,3916415,8699670
103,6013200,3986947,8567949
104,5233616,3803892,8222662
105,5793762,3945197,9022670
106,6166684,4181072,8706188
107,5659028,4375991,8779382
108,6134157,4149515,8702781
109,5542346,4116834,8837244
110,6021980,4155098,8843273
111,6017584,4043834,8902762
112,6153654,4044120,9028475
113,5914673,4066350,8280344
114,5979219,4405267,8831561
115,6084543,4158412,8764087
116,5939455,4107705,9958299
117,5164250,2247753,7166431
118,4988630,2178595,7867035
119,4902674,2229343,7257799
120,5064835,4033508,8589565
121,6017039,4238870,8382264
