type,t.min,t.max,t.mean,t.median,t.sd,t.q99,t.num
baseline,6.957,52.167,15.7651267,15.827,1.545343319992284,19.8021,10000
sgx,21.272,74.369,29.6655817,29.572,1.6513970930581796,35.211270000000006,10000
