responses,type,t.min,t.max,t.mean,t.sd,t.num,te.se,t.m.ci.h,t.m.ci.l
10,baseline,0.03,0.055,0.049205882352941176,0.006413902569228654,34,0.0010999752158646163,0.04696796594944948,0.051443798756432874
10,sgx,0.07,0.103,0.08979411764705883,0.008751725065500137,34,0.0015009084662895038,0.08674049641232161,0.09284773888179605
100,baseline,0.05,0.076,0.07178124999999999,0.004563066138096745,32,8.066437523127298e-4,0.07013608922070652,0.07342641077929346
100,sgx,0.114,0.138,0.12721212121212122,0.006518040233448129,33,0.0011346451652635798,0.12490092464200003,0.1295233177822424
1000,baseline,0.291,0.321,0.31191176470588233,0.005101203940240847,34,8.748492582746965e-4,0.3101318705069603,0.3136916589048044
1000,sgx,0.889,0.963,0.9230882352941177,0.013529692704205499,34,0.002320323156184167,0.918367502337835,0.9278089682504003
10000,baseline,4.559,4.63,4.596942857142857,0.01969912338620357,35,0.0033297595888543943,4.59017597150106,4.6037097427846545
10000,sgx,71.579,73.185,72.40967647058824,0.44489853937575635,34,0.07629947003491097,72.25444403161494,72.56490890956154
