baseline,1000,311448246
baseline,100,50525156
baseline,100,74013792
baseline,10000,4571220094
baseline,10000,4585361396
baseline,10,52731932
baseline,10000,4621662076
baseline,100,70736971
baseline,10000,4600965794
baseline,10,53784523
baseline,10000,4594337109
baseline,1000,311290482
baseline,10000,4607133389
baseline,10000,4597371188
baseline,100,67274760
baseline,10,54565547
baseline,10000,4620508837
baseline,10000,4559683626
baseline,1000,311081506
baseline,1000,291653064
baseline,10,50704627
baseline,100,72768923
baseline,10,54342506
baseline,1000,314319438
baseline,100,73192503
baseline,10,54504256
baseline,10,42779555
baseline,100,74468268
baseline,100,72803304
baseline,100,74518728
baseline,1000,303787367
baseline,10,50268157
baseline,1000,307828192
baseline,1000,312227385
baseline,1000,319318440
baseline,1000,316358399
baseline,100,71964170
baseline,10,31568503
baseline,100,71217081
baseline,10000,4584349802
baseline,10,54948042
baseline,10,38328623
baseline,1000,309826394
baseline,10,54520415
baseline,1000,314399304
baseline,1000,312964735
baseline,10,54033842
baseline,10000,4612811496
baseline,10000,4599807401
baseline,10,54104594
baseline,10000,4624698309
baseline,1000,314977646
baseline,1000,314213815
baseline,10,51830014
baseline,1000,312519488
baseline,10,55942179
baseline,10000,4606352455
baseline,1000,315983376
baseline,100,70893210
baseline,100,74994791
baseline,10,51268370
baseline,10,52654443
baseline,100,71773187
baseline,10000,4581107018
baseline,10000,4620506092
baseline,100,73645378
baseline,10,51055209
baseline,10,51767679
baseline,100,75119788
baseline,1000,311232515
baseline,1000,313739572
baseline,1000,313579876
baseline,10,52946183
baseline,10,51179892
baseline,1000,314797360
baseline,10,44616351
baseline,10,50436665
baseline,10000,4608636027
baseline,10,50908382
baseline,100,72224288
baseline,10,47630691
baseline,10000,4583986425
baseline,100,76523793
baseline,100,74416437
baseline,100,73699571
baseline,1000,313555986
baseline,10000,4596930761
baseline,1000,307959758
baseline,100,71157455
baseline,100,75032665
baseline,100,75376670
baseline,1000,308408176
baseline,10000,4567991347
baseline,1000,321215350
baseline,10000,4608353086
baseline,1000,313175091
baseline,10000,4619235021
baseline,10000,4566810715
baseline,10000,4600643886
baseline,10,53665983
baseline,10000,4596520865
baseline,1000,319337769
baseline,1000,314251913
baseline,1000,311932373
baseline,10000,4586821186
baseline,1000,310596364
baseline,10000,4630272591
baseline,10,47208419
baseline,100,66421963
baseline,1000,316415748
baseline,100,75583979
baseline,10000,4606016388
baseline,100,75627631
baseline,10,51063300
baseline,10,37177008
baseline,10000,4630483228
baseline,100,73893271
baseline,100,72879828
baseline,10,52029007
baseline,100,72317067
baseline,10000,4559079303
baseline,10,30807244
baseline,10000,4608526168
baseline,1000,312588192
baseline,10000,4574095471
baseline,100,71244265
baseline,10000,4587998644
baseline,10,51167735
baseline,100,74135574
baseline,10000,4582532141
baseline,1000,311840566
baseline,10000,4608143083
baseline,100,72520904
baseline,1000,314164227
baseline,10,53083010
sgx,1000,926076817
sgx,100,128676924
sgx,10000,73080918223
sgx,100,137050520
sgx,100,121817914
sgx,10000,72204395177
sgx,1000,910393563
sgx,100,114715566
sgx,1000,914718416
sgx,1000,930804803
sgx,10,79258679
sgx,100,119087640
sgx,100,128262417
sgx,10,93174494
sgx,1000,929841362
sgx,1000,926988264
sgx,10,87142415
sgx,100,128800959
sgx,1000,937120023
sgx,1000,926300146
sgx,10,80535174
sgx,10,80432549
sgx,10000,71778000364
sgx,10,90661719
sgx,100,120866770
sgx,10000,72297614127
sgx,100,134029277
sgx,10,80725575
sgx,10,100506224
sgx,1000,917382993
sgx,100,127686536
sgx,10,94501295
sgx,1000,930386215
sgx,100,122613005
sgx,10000,72377355881
sgx,10000,72214713834
sgx,10,95276906
sgx,10,95215979
